,userId,movieId,rating,timestamp_x,title,genres,tag,timestamp_y
count,102677.0,102677.0,102677.0,102677.0,102677,102677,3476,3476.0
unique,,,,,9719,951,1543,
top,,,,,Pulp Fiction (1994),Comedy,In Netflix queue,
freq,,,,,484,7250,55,
mean,327.7619330521928,19742.712623080144,3.514813444101405,1209494615.372615,,,,1323524764.6657078
std,183.21128861978838,35884.40099030912,1.0431329850015858,217011691.42830956,,,,173155421.60621455
min,1.0,1.0,0.5,828124615.0,,,,1137179352.0
25%,177.0,1199.0,3.0,1019137611.0,,,,1138031742.75
50%,328.0,3005.0,3.5,1186589739.0,,,,1279956121.5
75%,477.0,8366.0,4.0,1439915522.0,,,,1498456925.25
max,610.0,193609.0,5.0,1537799250.0,,,,1537098603.0
